df_over_f0,k_over_gamma,C_mean,C_min,C_max,C_std,stable,mode_id,mode,phase_slip_count,cluster_count
-0.044,0.4585000000000001,0.9810330430765083,0.9783035014934744,0.9821977267181837,0.0011966937978244168,True,4,inversion,0,1
-0.042,0.4585000000000001,0.6032319812609054,0.558248449347417,0.6631035098633689,0.03305015442708009,False,3,cluster_split,0,6
-0.04,0.4585000000000001,0.9993993716785573,0.9989535510191058,0.9996786334878676,0.00021357731249714573,True,0,stable,0,1
-0.038,0.4585000000000001,0.7785827835642706,0.7723175971814172,0.7806485915267721,0.002405909097244273,True,3,cluster_split,0,6
-0.036000000000000004,0.4585000000000001,0.9123574781113075,0.9052168479968369,0.9175027558693323,0.003694875462016373,True,0,stable,0,6
-0.034,0.4585000000000001,0.883648035379313,0.8783875797794373,0.8878384385086738,0.0028267396995741,True,0,stable,0,9
-0.032,0.4585000000000001,0.9985711012694191,0.9972176097994953,0.9994105718415389,0.0006501199800339061,True,0,stable,0,1
-0.03,0.4585000000000001,0.9053686740635132,0.8946490498637135,0.9152346153777041,0.006031329042530548,True,0,stable,0,6
-0.027999999999999997,0.4585000000000001,0.9942829113807137,0.9876200769330963,0.9980992509968939,0.0031006311256263092,True,0,stable,0,1
-0.026000000000000002,0.4585000000000001,0.9999040428258984,0.999769857188488,0.9999725855817841,5.9186165319596316e-05,True,0,stable,0,1
-0.024,0.4585000000000001,0.9946099563035945,0.9813261881645953,0.999216231511129,0.004936861702241863,True,0,stable,0,1
-0.022,0.4585000000000001,0.9116531539717135,0.8971080547664634,0.9303970291310064,0.009571873168136874,True,0,stable,0,4
-0.020000000000000004,0.4585000000000001,0.8937791010330484,0.8749048596978475,0.9105399025783808,0.010437788633035022,True,0,stable,0,8
-0.018000000000000002,0.4585000000000001,0.9998927412641366,0.9997033159918711,0.9999777335859081,7.926206576947083e-05,True,0,stable,0,1
-0.016,0.4585000000000001,0.9989061615286974,0.9970925094863755,0.9997561598160969,0.0007736071758601643,True,0,stable,0,1
-0.013999999999999999,0.4585000000000001,0.9897320291892082,0.9548437460037696,0.9992305556184273,0.012345747012115497,True,0,stable,0,1
-0.011999999999999997,0.4585000000000001,0.9945437407889762,0.9752080099809096,0.9995022102466216,0.006307716987723543,True,0,stable,0,1
-0.009999999999999995,0.4585000000000001,0.9876069646707689,0.9638891304536471,0.9978041398894495,0.009806604874553681,True,0,stable,0,1
-0.007999999999999993,0.4585000000000001,0.963864832791503,0.9240306014167612,0.9964785656239985,0.024287699421550915,True,0,stable,0,1
-0.006000000000000005,0.4585000000000001,0.9986713858751408,0.995480587599364,0.9998129722200736,0.0012081434153401517,True,0,stable,0,1
-0.0040000000000000036,0.4585000000000001,0.99844251579783,0.9941758324025407,0.9998082857710368,0.0015247453551435076,True,0,stable,0,1
-0.0020000000000000018,0.4585000000000001,0.9935604480287827,0.969481993273631,0.9995376963280378,0.007962929796010564,True,0,stable,0,1
0.0,0.4585000000000001,0.9999108712974932,0.999743325630786,0.9999834750336782,6.91934223380598e-05,True,0,stable,0,2
0.0020000000000000018,0.4585000000000001,0.9988490287550994,0.9966815072358772,0.9997879597672226,0.0008953055191557864,True,0,stable,0,1
0.0040000000000000036,0.4585000000000001,0.7984592033963095,0.723088447992545,0.8562854536855147,0.0378090139298946,True,3,cluster_split,0,5
0.006000000000000005,0.4585000000000001,0.9977217507318628,0.9903667342032508,0.999794332275448,0.0025089302329520985,True,0,stable,0,1
0.007999999999999993,0.4585000000000001,0.9969194845447389,0.9914917945881805,0.9993830036196546,0.0022892513030660887,True,0,stable,0,1
0.009999999999999995,0.4585000000000001,0.9996612395585758,0.9990814809475316,0.9999276082899192,0.0002451875756591316,True,0,stable,0,1
0.011999999999999997,0.4585000000000001,0.9530215346980894,0.9130819217245142,0.9948104734086305,0.028793761640497004,True,0,stable,0,1
0.013999999999999999,0.4585000000000001,0.9996493971028232,0.9989561882437102,0.999937472250607,0.0002807426198876272,True,0,stable,0,1
0.016,0.4585000000000001,0.9999554759634499,0.9998754291471976,0.9999910421214604,3.337203592185674e-05,True,0,stable,0,1
0.018000000000000002,0.4585000000000001,0.9597650339334132,0.9195068638613417,0.9869920620254786,0.02057272875904573,True,0,stable,0,1
0.020000000000000004,0.4585000000000001,0.9822819027977372,0.9554108433637958,0.9983243286457275,0.014292393029914773,True,0,stable,0,1
0.022000000000000006,0.4585000000000001,0.9990968385906285,0.9977877672487946,0.9997563736273605,0.0005747038197618766,True,0,stable,0,1
0.024000000000000007,0.4585000000000001,0.8181861781652903,0.78714353233119,0.8556254936554722,0.01983282936043971,True,0,stable,0,6
0.025999999999999995,0.4585000000000001,0.9996683471625597,0.9992108136528208,0.9999035753523037,0.00020236069353308367,True,0,stable,0,1
0.027999999999999997,0.4585000000000001,0.998358743011593,0.9963599055221177,0.9994628772282079,0.0009128882986050791,True,0,stable,0,1
